timestamp_iso,status_code,latency_ms,error
2026-09-11T03:18:13.658184+00:00,200,69.81,
2026-09-11T03:18:13.624796+00:00,200,110.41,
2026-09-11T03:18:13.658184+00:00,200,74.02,
2026-09-11T03:18:13.666400+00:00,200,70.50,
2026-09-11T03:18:13.666400+00:00,200,75.26,
2026-09-11T03:18:13.666400+00:00,200,79.27,
2026-09-11T03:18:13.658184+00:00,200,85.23,
2026-09-11T03:18:13.685232+00:00,200,66.45,
2026-09-11T03:18:13.674760+00:00,200,74.87,
2026-09-11T03:18:13.674387+00:00,200,79.63,
2026-09-11T03:18:13.688959+00:00,200,70.91,
2026-09-11T03:18:13.692920+00:00,200,68.24,
2026-09-11T03:18:13.697490+00:00,200,65.02,
2026-09-11T03:18:13.674760+00:00,200,82.88,
2026-09-11T03:18:13.701424+00:00,200,69.66,
2026-09-11T03:18:13.733259+00:00,200,42.30,
2026-09-11T03:18:13.733259+00:00,200,45.41,
2026-09-11T03:18:13.704879+00:00,200,75.11,
2026-09-11T03:18:13.709806+00:00,200,83.69,
2026-09-11T03:18:13.745344+00:00,200,49.69,
2026-09-11T03:18:13.714657+00:00,200,88.48,
2026-09-11T03:18:13.739077+00:00,200,74.28,
2026-09-11T03:18:13.719094+00:00,200,95.04,
2026-09-11T03:18:13.724251+00:00,200,95.97,
2026-09-11T03:18:13.751875+00:00,200,71.31,
2026-09-11T03:18:13.775441+00:00,200,48.72,
2026-09-11T03:18:13.785179+00:00,200,46.44,
2026-09-11T03:18:13.759356+00:00,200,79.23,
2026-09-11T03:18:13.781156+00:00,200,70.81,
2026-09-11T03:18:13.778000+00:00,200,81.48,
2026-09-11T03:18:13.812927+00:00,200,51.89,
2026-09-11T03:18:13.753951+00:00,200,114.67,
2026-09-11T03:18:13.833201+00:00,200,48.84,
2026-09-11T03:18:13.759356+00:00,200,123.24,
2026-09-11T03:18:13.778000+00:00,200,112.43,
2026-09-11T03:18:13.750306+00:00,200,148.15,
2026-09-11T03:18:13.759356+00:00,200,142.55,
2026-09-11T03:18:13.816519+00:00,200,86.03,
2026-09-11T03:18:13.859971+00:00,200,48.92,
2026-09-11T03:18:13.816519+00:00,200,87.78,
2026-09-11T03:18:13.866211+00:00,200,52.91,
2026-09-11T03:18:13.882567+00:00,200,49.96,
2026-09-11T03:18:13.733259+00:00,200,203.03,
2026-09-11T03:18:13.891423+00:00,200,50.92,
2026-09-11T03:18:13.905148+00:00,200,49.48,
2026-09-11T03:18:13.908583+00:00,200,50.14,
2026-09-11T03:18:13.916897+00:00,200,50.60,
2026-09-11T03:18:13.771405+00:00,200,201.27,
2026-09-11T03:18:13.927620+00:00,200,56.49,
2026-09-11T03:18:13.806091+00:00,200,184.74,
2026-09-11T03:18:13.896579+00:00,200,106.92,
2026-09-11T03:18:13.940721+00:00,200,70.16,
2026-09-11T03:18:13.833201+00:00,200,184.80,
2026-09-11T03:18:13.953506+00:00,200,75.75,
2026-09-11T03:18:13.969026+00:00,200,94.43,
2026-09-11T03:18:13.908583+00:00,200,158.53,
2026-09-11T03:18:13.816519+00:00,200,248.76,
2026-09-11T03:18:13.985145+00:00,200,93.19,
2026-09-11T03:18:14.002913+00:00,200,88.51,
2026-09-11T03:18:13.865345+00:00,200,245.96,
2026-09-11T03:18:13.896579+00:00,200,220.28,
2026-09-11T03:18:13.866211+00:00,200,250.46,
2026-09-11T03:18:14.029556+00:00,200,100.00,
2026-09-11T03:18:13.824765+00:00,200,315.95,
2026-09-11T03:18:14.062214+00:00,200,80.34,
2026-09-11T03:18:13.763317+00:00,200,381.87,
2026-09-11T03:18:13.955513+00:00,200,199.47,
2026-09-11T03:18:14.091646+00:00,200,75.77,
2026-09-11T03:18:13.849796+00:00,200,324.55,
2026-09-11T03:18:13.791485+00:00,200,397.82,
2026-09-11T03:18:14.010717+00:00,200,191.66,
2026-09-11T03:18:14.019332+00:00,200,187.66,
2026-09-11T03:18:14.141102+00:00,200,75.61,
2026-09-11T03:18:13.907935+00:00,200,311.70,
2026-09-11T03:18:14.079639+00:00,200,142.65,
2026-09-11T03:18:13.885818+00:00,200,345.57,
2026-09-11T03:18:14.177997+00:00,200,67.82,
2026-09-11T03:18:13.969532+00:00,200,286.06,
2026-09-11T03:18:14.124746+00:00,200,134.45,
2026-09-11T03:18:13.838933+00:00,200,432.13,
2026-09-11T03:18:14.159990+00:00,200,121.82,
2026-09-11T03:18:13.803214+00:00,200,482.73,
2026-09-11T03:18:13.971539+00:00,200,318.59,
