timestamp_iso,status_code,latency_ms,error
2026-09-11T01:02:53.143139+00:00,200,35.00,
2026-09-11T01:02:53.110701+00:00,200,69.86,
2026-09-11T01:02:53.178859+00:00,200,11.81,
2026-09-11T01:02:53.174863+00:00,200,15.53,
2026-09-11T01:02:53.190528+00:00,200,12.77,
2026-09-11T01:02:53.190528+00:00,200,14.49,
2026-09-11T01:02:53.178859+00:00,200,31.20,
2026-09-11T01:02:53.203732+00:00,200,13.45,
2026-09-11T01:02:53.205755+00:00,200,11.96,
2026-09-11T01:02:53.209168+00:00,200,12.69,
2026-09-11T01:02:53.216039+00:00,200,13.80,
2026-09-11T01:02:53.216039+00:00,200,14.99,
2026-09-11T01:02:53.223074+00:00,200,13.44,
2026-09-11T01:02:53.205755+00:00,200,32.89,
2026-09-11T01:02:53.231959+00:00,200,16.56,
2026-09-11T01:02:53.235001+00:00,200,15.43,
2026-09-11T01:02:53.235001+00:00,200,16.50,
2026-09-11T01:02:53.232970+00:00,200,22.08,
2026-09-11T01:02:53.243637+00:00,200,12.78,
2026-09-11T01:02:53.251091+00:00,200,13.21,
2026-09-11T01:02:53.252655+00:00,200,15.09,
2026-09-11T01:02:53.253258+00:00,200,14.02,
2026-09-11T01:02:53.238593+00:00,200,33.02,
2026-09-11T01:02:53.260783+00:00,200,13.13,
2026-09-11T01:02:53.263303+00:00,200,13.51,
2026-09-11T01:02:53.267735+00:00,200,13.71,
2026-09-11T01:02:53.268745+00:00,200,15.56,
2026-09-11T01:02:53.273262+00:00,200,13.45,
2026-09-11T01:02:53.263303+00:00,200,24.42,
2026-09-11T01:02:53.270755+00:00,200,18.30,
2026-09-11T01:02:53.280936+00:00,200,12.04,
2026-09-11T01:02:53.283962+00:00,200,14.30,
2026-09-11T01:02:53.285608+00:00,200,14.04,
2026-09-11T01:02:53.275273+00:00,200,26.79,
2026-09-11T01:02:53.285608+00:00,200,17.01,
2026-09-11T01:02:53.285608+00:00,200,17.80,
2026-09-11T01:02:53.293522+00:00,200,16.31,
2026-09-11T01:02:53.294540+00:00,200,18.26,
2026-09-11T01:02:53.298534+00:00,200,14.87,
2026-09-11T01:02:53.300040+00:00,200,14.99,
2026-09-11T01:02:53.304080+00:00,200,15.06,
2026-09-11T01:02:53.304080+00:00,200,13.90,
2026-09-11T01:02:53.304080+00:00,200,13.92,
2026-09-11T01:02:53.312048+00:00,200,12.58,
2026-09-11T01:02:53.312048+00:00,200,15.77,
2026-09-11T01:02:53.316067+00:00,200,13.49,
2026-09-11T01:02:53.304080+00:00,200,26.89,
2026-09-11T01:02:53.318080+00:00,200,14.70,
2026-09-11T01:02:53.320090+00:00,200,16.21,
2026-09-11T01:02:53.322741+00:00,200,15.04,
2026-09-11T01:02:53.322741+00:00,200,15.77,
2026-09-11T01:02:53.322741+00:00,200,17.30,
2026-09-11T01:02:53.329920+00:00,200,18.15,
2026-09-11T01:02:53.332500+00:00,200,20.85,
2026-09-11T01:02:53.332500+00:00,200,23.36,
2026-09-11T01:02:53.335019+00:00,200,26.91,
2026-09-11T01:02:53.335535+00:00,200,26.67,
2026-09-11T01:02:53.347530+00:00,200,17.79,
2026-09-11T01:02:53.341295+00:00,200,26.90,
2026-09-11T01:02:53.353301+00:00,200,17.36,
2026-09-11T01:02:53.343668+00:00,200,28.67,
2026-09-11T01:02:53.354814+00:00,200,18.49,
2026-09-11T01:02:53.361919+00:00,200,17.66,
2026-09-11T01:02:53.363430+00:00,200,16.78,
2026-09-11T01:02:53.363430+00:00,200,17.65,
2026-09-11T01:02:53.369014+00:00,200,17.51,
2026-09-11T01:02:53.369014+00:00,200,19.15,
2026-09-11T01:02:53.375276+00:00,200,17.79,
2026-09-11T01:02:53.374261+00:00,200,20.07,
2026-09-11T01:02:53.358272+00:00,200,37.79,
2026-09-11T01:02:53.379645+00:00,200,18.97,
2026-09-11T01:02:53.382653+00:00,200,19.28,
2026-09-11T01:02:53.384651+00:00,200,18.57,
2026-09-11T01:02:53.386654+00:00,200,18.49,
2026-09-11T01:02:53.335535+00:00,200,72.77,
2026-09-11T01:02:53.387941+00:00,200,22.65,
2026-09-11T01:02:53.393135+00:00,200,23.08,
2026-09-11T01:02:53.394385+00:00,200,27.00,
2026-09-11T01:02:53.400815+00:00,200,19.91,
2026-09-11T01:02:53.387941+00:00,200,37.51,
2026-09-11T01:02:53.400815+00:00,200,27.30,
2026-09-11T01:02:53.398388+00:00,200,32.95,
2026-09-11T01:02:53.413011+00:00,200,20.59,
2026-09-11T01:02:53.415027+00:00,200,19.94,
2026-09-11T01:02:53.423141+00:00,200,19.16,
2026-09-11T01:02:53.420925+00:00,200,21.20,
2026-09-11T01:02:53.395391+00:00,200,49.87,
2026-09-11T01:02:53.423141+00:00,200,26.84,
2026-09-11T01:02:53.425148+00:00,200,22.53,
2026-09-11T01:02:53.433540+00:00,200,21.53,
2026-09-11T01:02:53.425148+00:00,200,35.80,
2026-09-11T01:02:53.437083+00:00,200,27.67,
2026-09-11T01:02:53.441518+00:00,200,23.41,
2026-09-11T01:02:53.441518+00:00,200,28.39,
2026-09-11T01:02:53.444046+00:00,200,28.59,
2026-09-11T01:02:53.454084+00:00,200,22.53,
2026-09-11T01:02:53.409993+00:00,200,73.01,
2026-09-11T01:02:53.461759+00:00,200,23.56,
2026-09-11T01:02:53.463407+00:00,200,22.85,
2026-09-11T01:02:53.456102+00:00,200,38.17,
2026-09-11T01:02:53.470686+00:00,200,23.92,
2026-09-11T01:02:53.473195+00:00,200,25.37,
2026-09-11T01:02:53.475213+00:00,200,26.65,
2026-09-11T01:02:53.403968+00:00,200,109.24,
2026-09-11T01:02:53.483443+00:00,200,32.39,
2026-09-11T01:02:53.485453+00:00,200,32.67,
2026-09-11T01:02:53.485453+00:00,200,33.95,
2026-09-11T01:02:53.494012+00:00,200,35.70,
2026-09-11T01:02:53.494012+00:00,200,36.71,
2026-09-11T01:02:53.496600+00:00,200,35.69,
2026-09-11T01:02:53.500958+00:00,200,35.06,
2026-09-11T01:02:53.450344+00:00,200,99.35,
2026-09-11T01:02:53.514050+00:00,200,38.22,
2026-09-11T01:02:53.517482+00:00,200,36.50,
2026-09-11T01:02:53.516051+00:00,200,39.53,
2026-09-11T01:02:53.521892+00:00,200,44.89,
2026-09-11T01:02:53.535308+00:00,200,35.50,
2026-09-11T01:02:53.539084+00:00,200,37.14,
2026-09-11T01:02:53.463407+00:00,200,119.95,
2026-09-11T01:02:53.554060+00:00,200,31.71,
2026-09-11T01:02:53.560339+00:00,200,38.14,
2026-09-11T01:02:53.567258+00:00,200,44.34,
2026-09-11T01:02:53.531631+00:00,200,86.21,
2026-09-11T01:02:53.584712+00:00,200,38.87,
2026-09-11T01:02:53.585711+00:00,200,44.08,
2026-09-11T01:02:53.450344+00:00,200,193.71,
2026-09-11T01:02:53.529629+00:00,200,119.27,
2026-09-11T01:02:53.611499+00:00,200,42.91,
2026-09-11T01:02:53.598852+00:00,200,67.48,
2026-09-11T01:02:53.570341+00:00,200,101.00,
2026-09-11T01:02:53.644322+00:00,200,43.18,
2026-09-11T01:02:53.654035+00:00,200,39.39,
2026-09-11T01:02:53.609377+00:00,200,86.27,
2026-09-11T01:02:53.556065+00:00,200,144.07,
2026-09-11T01:02:53.621645+00:00,200,81.09,
2026-09-11T01:02:53.671863+00:00,200,41.20,
2026-09-11T01:02:53.680798+00:00,200,36.75,
2026-09-11T01:02:53.687654+00:00,200,35.84,
2026-09-11T01:02:53.692359+00:00,200,36.69,
2026-09-11T01:02:53.703664+00:00,200,34.12,
2026-09-11T01:02:53.707418+00:00,200,34.50,
2026-09-11T01:02:53.707418+00:00,200,40.24,
2026-09-11T01:02:53.700121+00:00,200,64.90,
2026-09-11T01:02:53.723461+00:00,200,43.08,
2026-09-11T01:02:53.662623+00:00,200,102.95,
2026-09-11T01:02:53.717784+00:00,200,55.29,
2026-09-11T01:02:53.730362+00:00,200,50.61,
2026-09-11T01:02:53.737881+00:00,200,45.52,
2026-09-11T01:02:53.753866+00:00,200,39.82,
2026-09-11T01:02:53.553056+00:00,200,241.61,
2026-09-11T01:02:53.766362+00:00,200,34.35,
2026-09-11T01:02:53.764235+00:00,200,36.83,
2026-09-11T01:02:53.769362+00:00,200,36.92,
2026-09-11T01:02:53.746702+00:00,200,61.30,
2026-09-11T01:02:53.745685+00:00,200,65.52,
2026-09-11T01:02:53.551042+00:00,200,267.21,
2026-09-11T01:02:53.793120+00:00,200,32.44,
2026-09-11T01:02:53.800648+00:00,200,28.89,
2026-09-11T01:02:53.805491+00:00,200,27.03,
2026-09-11T01:02:53.781978+00:00,200,55.93,
2026-09-11T01:02:53.694366+00:00,200,153.77,
2026-09-11T01:02:53.825830+00:00,200,28.93,
2026-09-11T01:02:53.576710+00:00,200,279.71,
2026-09-11T01:02:53.485453+00:00,200,371.91,
2026-09-11T01:02:53.816610+00:00,200,44.79,
2026-09-11T01:02:53.832724+00:00,200,30.84,
2026-09-11T01:02:53.805491+00:00,200,66.91,
