timestamp_iso,status_code,latency_ms,error
2026-09-11T00:45:09.353429+00:00,200,81.17,
2026-09-11T00:45:09.393787+00:00,200,41.49,
2026-09-11T00:45:09.435649+00:00,200,11.48,
2026-09-11T00:45:09.434645+00:00,200,16.66,
2026-09-11T00:45:09.451292+00:00,200,11.30,
2026-09-11T00:45:09.447071+00:00,200,15.07,
2026-09-11T00:45:09.435649+00:00,200,30.73,
2026-09-11T00:45:09.459384+00:00,200,14.48,
2026-09-11T00:45:09.459384+00:00,200,16.65,
2026-09-11T00:45:09.464936+00:00,200,15.98,
2026-09-11T00:45:09.481095+00:00,200,13.05,
2026-09-11T00:45:09.477027+00:00,200,19.12,
2026-09-11T00:45:09.481095+00:00,200,16.12,
2026-09-11T00:45:09.488191+00:00,200,14.36,
2026-09-11T00:45:09.494634+00:00,200,15.00,
2026-09-11T00:45:09.498272+00:00,200,14.19,
2026-09-11T00:45:09.483429+00:00,200,31.80,
2026-09-11T00:45:09.508167+00:00,200,17.05,
2026-09-11T00:45:09.511285+00:00,200,16.98,
2026-09-11T00:45:09.512153+00:00,200,21.90,
2026-09-11T00:45:09.515734+00:00,200,20.66,
2026-09-11T00:45:09.525579+00:00,200,18.93,
2026-09-11T00:45:09.528288+00:00,200,22.64,
2026-09-11T00:45:09.533641+00:00,200,20.18,
2026-09-11T00:45:09.536435+00:00,200,20.69,
2026-09-11T00:45:09.529633+00:00,200,29.92,
2026-09-11T00:45:09.550917+00:00,200,15.02,
2026-09-11T00:45:09.554731+00:00,200,18.92,
2026-09-11T00:45:09.557238+00:00,200,18.79,
2026-09-11T00:45:09.559245+00:00,200,18.94,
2026-09-11T00:45:09.544066+00:00,200,39.01,
2026-09-11T00:45:09.566038+00:00,200,21.26,
2026-09-11T00:45:09.573368+00:00,200,19.81,
2026-09-11T00:45:09.575977+00:00,200,20.62,
2026-09-11T00:45:09.577437+00:00,200,23.49,
2026-09-11T00:45:09.583082+00:00,200,20.97,
2026-09-11T00:45:09.587103+00:00,200,20.94,
2026-09-11T00:45:09.593119+00:00,200,20.97,
2026-09-11T00:45:09.593119+00:00,200,20.24,
2026-09-11T00:45:09.603657+00:00,200,19.87,
